type	exactId	action	canonicalName	loaders	sourceBuildTargets	descriptorSource
MOD	advanced-xray-fabric	DENY	Advanced XRay - legacy Fabric codebase	Fabric	1.21.5	https://raw.githubusercontent.com/AdvancedXRay/XRay-Fabric/1351f0776f6cb634ff0d502435f220ea501ad576/src/main/resources/fabric.mod.json
MOD	aegis	DENY	Aegis Client	Fabric	1.20.4	https://raw.githubusercontent.com/aegisclient/client/8d20597359f49e9028c3dfc43888bab3c760bce9/src/main/resources/fabric.mod.json
MOD	alien	DENY	Alien	Fabric	1.20.4	https://raw.githubusercontent.com/iM4dCat/Alien/8a4348bce4d9a2cefe020da71d988a48a1a54a21/src/main/resources/fabric.mod.json
MOD	aoba	DENY	Aoba Client	Fabric	26.2	https://raw.githubusercontent.com/Cocolots/Aoba-Client/c698b09d4f4e76db4b1dee0a0d6b2051324b9ce0/src/main/resources/fabric.mod.json
MOD	ares	DENY	Ares	Fabric,Forge	1.12.2,1.16.5,1.17.1,1.18.1	https://raw.githubusercontent.com/AresClient/ares/c60af6fddc11c9dee0676a8c4a21fc9b2f0aafcb/ares-fabric-1.16/src/main/resources/fabric.mod.json
MOD	atianxray	ALERT	ate47 Xray legacy Forge descriptor	Forge	1.17.x (legacy descriptor; build not verified)	https://raw.githubusercontent.com/ate47/Xray/74367d98ec04d1aa7029e70f0ab083033e5c91f5/src/main/resources/META-INF/mods.toml
MOD	baritoe	ALERT	Baritone	Fabric,Forge,NeoForge	1.21.4	https://raw.githubusercontent.com/cabaletta/baritone/3d3da10b0cb0fb71a80ffb2fe673fac6927924d2/forge/src/main/resources/META-INF/mods.toml
MOD	baritone	ALERT	Baritone	Fabric,Forge,NeoForge	1.21.4	https://raw.githubusercontent.com/cabaletta/baritone/3d3da10b0cb0fb71a80ffb2fe673fac6927924d2/fabric/src/main/resources/fabric.mod.json
MOD	blackout	DENY	BlackOut Meteor add-on	Fabric	1.21.1	https://raw.githubusercontent.com/KassuK1/BlackOut/4c18af3f58040e4ff4337b81cf627daacbdfba14/src/main/resources/fabric.mod.json
MOD	bleachhack	DENY	BleachHack	Fabric	1.19.4	https://raw.githubusercontent.com/BleachDev/BleachHack/2a30d34be73aa62484bb1ede97a7f657044fe333/src/main/resources/fabric.mod.json
